Nt,Ns,Ns_Square,Nt_by_NsSquare,Numerical Price,Analytical Price
1,10,100,100,12.2123,3.23758
51,10,100,1,2.96192,3.23758
101,21,441,4,3.20561,3.23758
151,67,4489,29,3.21278,3.23758
201,76,5776,28,3.23026,3.23758
251,85,7225,28,3.23195,3.23758
301,92,8464,28,3.23108,3.23758
351,100,10000,28,3.24318,3.23758
401,106,11236,28,3.23489,3.23758
451,113,12769,28,3.25036,3.23758
501,118,13924,27,3.23488,3.23758
551,124,15376,27,3.24738,3.23758
601,129,16641,27,3.24657,3.23758
651,134,17956,27,3.2347,3.23758
701,139,19321,27,3.23418,3.23758
751,144,20736,27,3.24462,3.23758
801,148,21904,27,3.24372,3.23758
851,153,23409,27,3.23542,3.23758
901,157,24649,27,3.2434,3.23758
951,161,25921,27,3.23516,3.23758
1001,165,27225,27,3.24217,3.23758
1051,169,28561,27,3.23465,3.23758
1101,173,29929,27,3.23515,3.23758
1151,177,31329,27,3.24184,3.23758
1201,181,32761,27,3.23928,3.23758
1251,184,33856,27,3.23635,3.23758
1301,188,35344,27,3.2419,3.23758
1351,191,36481,27,3.23617,3.23758
1401,195,38025,27,3.2367,3.23758
1451,198,39204,27,3.2364,3.23758
1501,201,40401,26,3.2364,3.23758
1551,205,42025,27,3.25103,3.23758
1601,208,43264,27,3.2404,3.23758
1651,211,44521,26,3.23683,3.23758
1701,214,45796,26,3.24086,3.23758
1751,217,47089,26,3.24017,3.23758
1801,220,48400,26,3.23664,3.23758
1851,223,49729,26,3.24086,3.23758
1901,226,51076,26,3.23635,3.23758
1951,229,52441,26,3.23639,3.23758
